ctd,Item,Descripcion,Categoria,Proveedor,Nombre,email,Costo,PVP
10,"Coated Density Series 14"" Snare Patch","Williams Single Ply Coated Density Series 14"" -  10-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,8.68,16
5,"Black Oil Target Series 10"" Tom Patch","Williams Double Ply Black Oil Target Series 10"" -  7-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,8.64,12
5,"Black Oil Target Series 12"" Tom Patch","Williams Double Ply Black Oil Target Series 12"" -  7-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,8.91,14
5,"Black Oil Target Series 14"" Tom/Snare Patch","Williams Double Ply Black Oil Target Series 14"" -  7-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,8.98,16
5,"Black Oil Target Series 16"" Tom Patch","Williams Double Ply Black Oil Target Series 16"" -  7-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,10.59,18
5,"Black Oil Target Series 22"" Bass Drum Patch","Williams Double Ply Black Oil Target Series 22"" -  7-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,14.2,35
5,"Blue Oil Target Series 10"" Tom Patch","Williams Double Ply Blue Oil Target Series 10"" -  7-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,8.64,12
5,"Blue Oil Target Series 12"" Tom Patch","Williams Double Ply Blue Oil Target Series 12"" -  7-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,8.91,14
5,"Blue Oil Target Series 14"" Tom/Snare Patch","Williams Double Ply Blue Oil Target Series 14"" -  7-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,8.98,16
5,"Blue Oil Target Series 16"" Tom Patch","Williams Double Ply Blue Oil Target Series 16"" -  7-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,10.59,18
5,"Blue Oil Target Series 22"" Bass Drum Patch","Williams Double Ply Blue Oil Target Series 22"" -  7-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,14.2,35
10,"Clear Oil Target Series 10"" Tom Patch","Williams Double Ply Clear Oil Target Series 10"" -  7-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,8.64,12
10,"Clear Oil Target Series 12"" Tom Patch","Williams Double Ply Clear Oil Target Series 12"" -  7-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,8.91,14
10,"Clear Oil Target Series 14"" Tom/Snare Patch","Williams Double Ply Clear Oil Target Series 14"" -  7-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,8.98,16
10,"Clear Oil Target Series 16"" Tom Patch","Williams Double Ply Clear Oil Target Series 16"" -  7-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,10.59,18
10,"Clear Oil Target Series 22"" Bass Drum Patch","Williams Double Ply Clear Oil Target Series 22"" -  7-MIL",Patches,Williams,Silvio Tonelli,silviotonelli@integritymmr.com,14.2,35
